stationId,KASTEPISTE,KESKITUULI,ILMAN_KOSTEUS,SADE,SADESUMMA,SATEEN_OLOMUOTO_PWDXX,TURVALLISUUSLÄMPÖ_1,ILMAN_LÄMPÖTILA_24H_MIN,ILMAN_LÄMPÖTILA_24H_MAX,LUMEN_SYVYYS,KELI_1,KELI_2,KELI_3,KELI_4,VEDEN_MÄÄRÄ1,VEDEN_MÄÄRÄ2,LUMEN_MÄÄRÄ1,LUMEN_MÄÄRÄ2,JÄÄN_MÄÄRÄ1,JÄÄN_MÄÄRÄ2,JÄÄTAAJUUS_1,JÄÄTAAJUUS_2,KUURAPISTE,KUURAPISTE_ERO_ILMA,KUURAPISTE_ERO_TIE,KITKA1,KITKA1_LUKU,KITKA2,KITKA2_LUKU,SADESUMMA_LIUKUVA_24H,KOSTEUDEN_MÄÄRÄ_1,VALLITSEVA_SÄÄ,SADE_desc,SATEEN_OLOMUOTO_PWDXX_desc,KELI_1_desc,KELI_2_desc
1001.0,1.1,0.9,95.0,0.0,0.0,7.0,-0.7,-0.9,5.0,,1.0,1.0,2.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,402.0,117.0,1.1,0.8,4.3,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1002.0,0.6,6.1,100.0,0.0,0.0,7.0,-0.4,-1.2,2.7,,2.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,115.0,110.0,0.7,-0.1,3.2,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Moist,Moist
1003.0,0.3,2.6,89.0,0.0,0.0,7.0,-0.5,-0.7,4.5,,1.0,,,,0.01,0.0,0.0,0.0,0.0,0.0,401.0,,0.3,1.7,8.3,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
1004.0,1.0,2.9,100.0,0.0,0.0,7.0,-0.5,-1.0,4.5,,1.0,1.0,,,0.0,,0.0,,0.0,,107.0,110.0,1.0,0.1,3.3,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1005.0,0.3,3.8,86.0,0.0,0.0,7.0,-0.1,-1.1,5.1,,1.0,1.0,2.0,0.0,0.0,,0.0,,0.0,,414.0,430.0,0.3,2.1,7.0,0.82,0.82,,,0.1,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1006.0,0.2,4.5,93.0,0.0,0.0,7.0,-0.1,-1.7,4.4,,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,400.0,415.0,0.2,1.1,4.3,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1009.0,0.3,3.4,86.0,0.0,0.0,7.0,-0.2,-1.0,4.6,,1.0,1.0,,,0.0,,0.0,,0.0,,412.0,421.0,0.3,2.2,6.6,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1010.0,0.8,3.4,80.0,0.0,0.0,7.0,0.0,-1.0,4.3,,1.0,1.0,,,0.0,,0.0,,0.0,,412.0,410.0,0.8,3.2,8.3,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1011.0,0.9,1.9,99.0,0.0,0.0,7.0,-0.5,-1.1,3.9,,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,109.0,112.0,0.9,0.1,3.3,0.82,0.82,0.82,0.82,0.0,0.0,10.0,Dry weather,Dry weather,Moist,Moist
1012.0,0.7,2.2,97.0,0.0,0.0,7.0,-1.3,-0.9,4.5,,2.0,0.0,2.0,8.0,0.02,0.0,0.0,0.0,0.0,0.0,112.0,,0.7,0.5,4.2,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Moist,The sensor has a fault
