stationId,KASTEPISTE,KESKITUULI,ILMAN_KOSTEUS,SADE,SADESUMMA,SATEEN_OLOMUOTO_PWDXX,TURVALLISUUSLÄMPÖ_1,ILMAN_LÄMPÖTILA_24H_MIN,ILMAN_LÄMPÖTILA_24H_MAX,LUMEN_SYVYYS,KELI_1,KELI_2,KELI_3,KELI_4,VEDEN_MÄÄRÄ1,VEDEN_MÄÄRÄ2,LUMEN_MÄÄRÄ1,LUMEN_MÄÄRÄ2,JÄÄN_MÄÄRÄ1,JÄÄN_MÄÄRÄ2,JÄÄTAAJUUS_1,JÄÄTAAJUUS_2,KUURAPISTE,KUURAPISTE_ERO_ILMA,KUURAPISTE_ERO_TIE,KITKA1,KITKA1_LUKU,KITKA2,KITKA2_LUKU,SADESUMMA_LIUKUVA_24H,KOSTEUDEN_MÄÄRÄ_1,VALLITSEVA_SÄÄ,SADE_desc,SATEEN_OLOMUOTO_PWDXX_desc,KELI_1_desc,KELI_2_desc
1001.0,-7.7,1.1,69.0,0.0,0.9,7.0,-0.7,-7.0,0.4,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,,-6.9,4.1,8.2,0.82,0.82,0.82,0.82,0.9,0.0,0.0,Dry weather,Dry weather,Probably moist and salty,The sensor has a fault
1002.0,-8.7,1.2,59.0,0.0,0.0,7.0,,-5.6,0.1,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,580.0,-7.8,6.1,,0.82,0.82,0.82,0.82,0.0,,0.0,Dry weather,Dry weather,The sensor has a fault,Dry
1003.0,-11.1,1.6,51.0,0.0,0.0,7.0,0.0,-8.5,0.4,0.0,1.0,,,,0.0,0.0,0.05,0.0,0.16,0.0,430.0,,-9.9,7.7,9.3,0.26,0.26,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
1004.0,-8.8,0.7,60.0,0.0,0.0,7.0,-0.3,-5.9,0.3,0.0,1.0,1.0,,,0.0,,0.01,,0.0,,120.0,430.0,-7.8,5.8,7.4,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1005.0,-12.1,0.9,47.0,0.0,0.0,7.0,0.0,-6.7,-0.5,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,411.0,427.0,-10.8,8.6,10.3,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1006.0,-10.2,0.4,56.0,0.0,0.0,7.0,-0.1,-8.2,0.6,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,412.0,415.0,-9.1,6.4,8.5,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1009.0,-12.1,0.4,48.0,0.0,0.0,7.0,-0.2,-8.9,-0.2,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,417.0,415.0,-10.8,8.3,10.4,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1010.0,-14.2,0.7,41.0,0.0,0.0,7.0,0.0,-8.4,0.0,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,422.0,415.0,-12.7,10.0,12.1,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1011.0,-10.9,0.8,50.0,0.0,1.4,7.0,0.0,-6.1,-0.1,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,497.0,,-9.7,7.9,8.2,0.82,0.82,0.82,0.82,1.4,0.0,0.0,Dry weather,Dry weather,Dry,The sensor has a fault
1012.0,-8.5,0.9,62.0,0.0,0.7,7.0,,-6.0,0.4,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,462.0,-7.6,5.4,,0.82,0.82,0.82,0.82,0.7,,0.0,Dry weather,Dry weather,The sensor has a fault,Dry
1013.0,-9.1,1.5,61.0,0.0,0.0,7.0,0.0,-8.2,0.7,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,435.0,435.0,-8.1,5.6,9.4,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1014.0,-8.9,2.4,60.0,0.0,0.0,7.0,-0.8,-5.1,-0.1,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,412.0,410.0,-7.9,5.9,9.7,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1015.0,-8.6,0.6,65.0,0.0,0.0,7.0,-0.4,-7.9,0.5,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,405.0,412.0,-7.7,4.6,8.8,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1016.0,-9.5,1.2,60.0,0.0,0.2,7.0,0.0,-6.8,0.1,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,402.0,400.0,-8.4,5.8,9.6,0.82,0.82,,,0.2,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1018.0,-12.1,0.2,52.0,0.0,0.0,7.0,-0.1,-7.7,-1.2,0.0,1.0,,,,0.0,,0.0,,0.0,,400.0,,-10.8,7.1,9.3,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
1019.0,-13.2,1.4,41.0,0.0,0.8,7.0,0.0,-7.2,-0.1,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,115.0,-11.8,10.3,11.5,0.82,0.82,0.82,0.82,0.8,0.0,0.0,Dry weather,Dry weather,Dry,Probably moist and salty
1020.0,-13.6,0.8,42.0,0.0,0.3,7.0,0.0,-7.5,0.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,115.0,-12.1,9.7,12.3,0.82,0.82,0.82,0.82,0.3,0.0,0.0,Dry weather,Dry weather,Dry,Probably moist and salty
1021.0,-8.3,0.2,71.0,0.0,0.0,7.0,-0.3,-8.4,-0.4,0.0,1.0,,,,0.0,,0.0,,0.0,,414.0,,-7.4,3.6,4.9,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
1022.0,-10.5,0.3,58.0,0.0,0.0,7.0,-0.1,-8.2,0.4,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,422.0,-9.4,6.1,9.7,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1030.0,-13.9,1.7,38.0,0.0,0.1,7.0,0.0,-7.1,0.2,0.0,1.0,1.0,,,,,,,,,388.0,417.0,-12.4,11.0,13.6,,,,,0.1,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1032.0,-13.9,2.7,39.0,0.0,0.0,7.0,0.0,-7.4,-0.4,0.0,1.0,1.0,,,,,,,,,406.0,406.0,-12.4,10.6,12.4,,,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1034.0,-8.8,0.8,60.0,0.0,0.0,7.0,-0.8,-5.8,0.2,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,,0.0,290.0,560.0,-7.8,5.7,6.1,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1035.0,-9.6,1.2,55.0,0.0,0.0,7.0,0.0,-6.8,0.1,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,435.0,427.0,-8.5,6.8,9.1,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1036.0,-9.4,0.7,58.0,0.0,0.2,7.0,0.0,-6.7,0.7,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,412.0,422.0,-8.3,6.1,7.7,0.82,0.82,,,0.2,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1037.0,-10.7,0.2,58.0,0.0,0.0,7.0,-0.3,-8.2,0.4,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,417.0,400.0,-9.5,5.9,8.4,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1041.0,-11.7,0.7,47.0,0.0,0.0,7.0,-0.2,-6.7,0.3,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,417.0,-10.5,8.6,10.3,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1042.0,-13.3,1.9,43.0,0.0,0.0,7.0,-0.6,-7.3,-0.2,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,397.0,407.0,-11.9,9.6,12.3,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1043.0,-10.0,1.8,55.0,0.0,0.3,7.0,-0.1,-7.5,0.6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,430.0,-8.9,6.8,10.3,0.82,0.82,0.82,0.82,0.3,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1045.0,-8.7,1.1,59.0,0.0,3.3,7.0,,-5.1,1.3,0.0,0.0,8.0,1.0,1.0,0.0,,0.0,,0.0,,122.0,112.0,-7.7,5.9,,0.82,0.82,,,3.3,,0.0,Dry weather,Dry weather,The sensor has a fault,Probably moist and salty
1047.0,-8.7,1.7,60.0,0.0,0.0,7.0,-0.1,-5.3,0.5,0.0,1.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,422.0,360.0,-7.8,5.7,8.3,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1049.0,-8.8,0.8,61.0,0.0,0.3,7.0,,-6.0,0.1,0.0,,,,,,,,,,,,,-7.8,5.5,,,,,,0.3,,0.0,Dry weather,Dry weather,,
